time_step,mean_betweenness_t,median_betweenness_t,std_betweenness_t,mean_total_degree_t,median_total_degree_t,std_total_degree_t,mean_abs_asymmetry_t,mean_pagerank_t,frac_extreme_asymmetry_t,outlier_node_count_t,outlier_node_fraction_t,degree_skewness_t,degree_kurtosis_t,n_nodes,n_edges,density,n_weak_components,z_mean_betweenness_t,z_mean_total_degree_t,z_mean_abs_asymmetry_t,z_mean_pagerank_t,z_frac_extreme_asymmetry_t,z_outlier_node_fraction_t,z_degree_skewness_t,z_degree_kurtosis_t,z_density,z_n_weak_components,timestep_anomaly_score,timestep_anomaly_flag,,SCORE
29,2.57E-05,0,8.92E-05,2.124444444,2,3.768567993,0.529049188,0.000233918,0.488187135,260,0.060818713,15.62422804,305.1314129,4275,4541,0.000248531,1,-0.233010532,-0.867279991,-0.018701021,-0.371663942,0.117479399,-0.238467717,-0.273189443,-0.398977542,-0.477019822,0,0.867279991,0,,0.12
30,6.12E-05,0,0.000165624,2.062827225,2,2.620980784,0.511789663,0.000402739,0.46798228,190,0.076520338,13.51729767,243.4773178,2483,2561,0.000415557,1,-0.143514772,-1.267681564,-0.24656445,0.814584831,-0.125549042,0.368830312,-0.541918095,-0.521373147,0.674941135,0,1.267681564,0,,0.81
31,2.28E-05,0,8.17E-05,2.165482955,2,3.517067492,0.562445949,0.000355114,0.521306818,168,0.059659091,18.04476892,455.4636043,2816,3049,0.000384633,1,-0.240150332,-0.600603173,0.422209172,0.479938958,0.515850241,-0.283318902,0.035538694,-0.100538331,0.461657703,0,0.600603173,0,,0.52
32,5.69E-06,0,2.32E-05,2.188729282,2,4.007972415,0.555172185,0.000220994,0.512265193,248,0.05480663,23.7487155,798.6234448,4525,4952,0.000241902,1,-0.283370523,-0.449543678,0.326179601,-0.46247441,0.407095588,-0.470999481,0.763049152,0.580702001,-0.522740453,0,0.763049152,0,,0.76
33,0.000101947,2.22E-06,0.000234261,2.136464614,2,4.114986942,0.373485114,0.00031736,0.343383053,279,0.08854332,25.11992143,861.2091032,3151,3366,0.000339121,1,-0.040892743,-0.789170413,-2.072486605,0.214652939,-1.62425595,0.833847971,0.937939754,0.704946944,0.14777027,0,2.072486605,1,,0.94
34,1.13E-05,0,4.87E-05,2.165728077,2,4.060296053,0.618977406,0.000402253,0.576427997,150,0.060337892,14.74181291,298.2287199,2486,2692,0.00043576,1,-0.269348105,-0.599010314,1.168547901,0.811169805,1.178859903,-0.257064633,-0.385737172,-0.412680757,0.814276939,0,1.178859903,0,,1.18
35,3.29E-06,0,1.21E-05,2.306518976,2,3.608084013,0.55190048,0.000181587,0.499182858,342,0.062102778,13.79579912,254.3590175,5507,6351,0.000209455,1,-0.289421379,0.315878379,0.282985951,-0.739377905,0.249738382,-0.188803428,-0.506396599,-0.499770815,-0.746523319,0,0.746523319,0,,0.32
36,3.27E-06,0,1.62E-05,2.444235883,2,4.596183357,0.48989424,0.000156421,0.436884092,191,0.029876427,14.37322004,278.058058,6393,7813,0.000191195,1,-0.289461327,1.210791633,-0.535631867,-0.916211408,-0.499604883,-1.435234902,-0.432749388,-0.45272352,-0.872461284,0,1.435234902,0,,1.21
37,1.88E-05,6.05E-07,4.27E-05,2.328493648,2,6.89846956,0.445943286,0.00030248,0.388989716,150,0.045372051,23.28590655,645.5772392,3306,3849,0.000352268,1,-0.250341901,0.458674392,-1.115880457,0.11010125,-1.075688978,-0.83590447,0.704020136,0.276874934,0.238443334,0,1.115880457,0,,0.70
38,7.96E-05,0,0.000245404,2.140435835,2,4.417994936,0.534038959,0.000345901,0.497405742,182,0.062953995,16.10152238,325.278085,2891,3094,0.000370318,1,-0.097173916,-0.76336459,0.047174853,0.415205154,0.228362838,-0.155880572,-0.212312887,-0.358982403,0.3629272,0,0.76336459,0,,0.42
39,1.29E-05,0,5.04E-05,2.111594203,2,5.14281818,0.58256537,0.000362319,0.549275362,122,0.044202899,20.06108396,479.0953039,2760,2914,0.000382674,1,-0.265275248,-0.950783547,0.687829481,0.530567673,0.852262042,-0.88112424,0.292709805,-0.053624721,0.448146569,0,0.950783547,0,,0.85
40,1.01E-05,0,3.72E-05,2.341441642,2,4.895460595,0.632222316,0.000223164,0.589600536,284,0.06337871,11.33854366,153.3672252,4481,5246,0.000261322,1,-0.272296519,0.542813168,1.343409643,-0.44722652,1.337302098,-0.139453702,-0.819807502,-0.70025955,-0.388805629,0,1.343409643,0,,1.34
41,1.57E-06,0,7.77E-06,2.281168102,2,4.52730354,0.575618478,0.000187196,0.526020217,210,0.039311119,16.37688268,331.5062757,5342,6093,0.000213553,1,-0.293740293,0.1511431,0.596115331,-0.699967074,0.57254404,-1.070325539,-0.17719203,-0.346618209,-0.718263467,0,1.070325539,0,,0.60
42,2.17E-06,0,1.62E-05,2.378991597,2,4.790914043,0.584060717,0.000140056,0.529271709,247,0.034593838,13.63197,226.9082961,7140,8493,0.000166619,1,-0.29222729,0.78682062,0.707571332,-1.031203585,0.611653696,-1.25277774,-0.527292202,-0.554265941,-1.041955907,0,1.25277774,0,,0.79
43,4.63E-06,0,1.47E-05,2.350385147,2,4.045826409,0.500747145,0.000197511,0.434524985,267,0.052735532,16.81621883,353.4255041,5063,5950,0.00023216,1,-0.286037642,0.600929931,-0.392349805,-0.627482932,-0.527980739,-0.55110415,-0.121156855,-0.303104194,-0.589931722,0,0.627482932,0,,0.60
44,3.71E-06,0,2.14E-05,2.231557789,2,3.561715222,0.538813492,0.000201005,0.486633166,223,0.044824121,17.90231685,440.3762779,4975,5551,0.000224322,1,-0.288353481,-0.171235085,0.110209129,-0.602934019,0.098787922,-0.857096987,0.017369629,-0.130489666,-0.643985909,0,0.857096987,0,,0.11
45,3.90E-06,0,2.36E-05,2.384065738,2,5.851785271,0.59419697,0.000178635,0.542693819,126,0.022508039,13.66268391,205.089304,5598,6673,0.000212977,1,-0.287878922,0.81979345,0.841392012,-0.76011959,0.773097794,-1.720225023,-0.523374793,-0.597580967,-0.722232077,0,1.720225023,0,,0.84
46,3.14E-06,0,2.00E-05,2.197215118,2,5.443417477,0.657195708,0.000284172,0.614379085,89,0.025291276,19.4474415,505.4921269,3519,3866,0.000312282,1,-0.289791724,-0.394400941,1.673112963,-0.018548249,1.635343941,-1.612576638,0.214442714,-0.001221793,-0.037338751,0,1.673112963,0,,1.67
47,2.90E-06,0,1.54E-05,2.244874048,2,4.71133374,0.609565473,0.000195274,0.560632689,196,0.038273775,16.53893652,323.8557293,5121,5748,0.000219226,1,-0.290394521,-0.08470325,1.044289822,-0.643201606,0.988870466,-1.110447339,-0.156522855,-0.361806061,-0.679134316,0,1.110447339,0,,1.04
48,4.40E-06,0,1.49E-05,2.223425863,2,5.459655276,0.613701343,0.000338524,0.568720379,135,0.045700745,14.4388377,239.6552835,2954,3284,0.000376469,1,-0.286625543,-0.224078038,1.098892338,0.363369023,1.086150983,-0.823191443,-0.424380177,-0.528960643,0.405352505,0,1.098892338,0,,1.10
49,3.56E-05,0,9.22E-05,2.108394458,2,4.573767661,0.617843693,0.000407498,0.584352078,196,0.079869601,20.54469899,555.7199539,2454,2587,0.000429758,1,-0.207989626,-0.971576158,1.153580412,0.848027222,1.274172498,0.498371073,0.354392534,0.098490404,0.772883027,0,1.274172498,0,,1.27
